"","Names","scores"
"1","Otu612",-1.68150247638098
"2","Otu92",-1.41949323938473
"3","Otu90",-1.40731495042295
"4","Otu93",-1.3866512732974
"5","Otu89",-1.37814271426443
"6","Otu88",-1.33224291767027
"7","Otu91",-1.27517996140877
"8","Otu94",-1.20531983153766
"9","Otu1134",-0.862033005495203
"10","Otu415",-0.843098130702798
"11","Otu446",-0.817984431286213
"12","Otu435",-0.790765796353556
"13","Otu419",-0.734626119546861
"14","Otu417",-0.728634953017504
"15","Otu425",-0.71039707839441
"16","Otu423",-0.694908530740611
"17","Otu95",-0.609536821164117
"18","Otu1869",-0.557781517021594
"19","Otu1135",-0.522153109337506
"20","Otu1872",-0.476381197178305
"21","Otu99",-0.470107507390668
"22","Otu114",-0.46112392015363
"23","Otu96",-0.453841485928971
"24","Otu98",-0.445902152211429
"25","Otu1884",-0.438259965898526
"26","Otu97",-0.434981989389865
"27","Otu462",-0.432815136311088
"28","Otu103",-0.429207307588003
"29","Otu542",-0.413213861251079
"30","Otu1615",-0.35662450711656
"31","Otu564",-0.330218194106996
"32","Otu1642",-0.326642651420025
"33","Otu1639",-0.319219715588421
"34","Otu1401",-0.312916072056052
"35","Otu721",-0.309862468827073
"36","Otu904",-0.294852119349276
"37","Otu1640",-0.288940701653457
"38","Otu1138",-0.273462200844113
"39","Otu532",-0.270417679734384
"40","Otu478",-0.264415237065079
"41","Otu1643",-0.261491460837565
"42","Otu466",-0.260503766442416
"43","Otu480",-0.254743453987675
"44","Otu2087",-0.248097542866509
"45","Otu1644",-0.246664553556946
"46","Otu75",-0.246571011057339
"47","Otu514",-0.244972343996915
"48","Otu534",-0.241991606828539
"49","Otu486",-0.239847117918415
"50","Otu474",-0.236514855404567
"51","Otu1641",-0.231152354303927
"52","Otu565",-0.221430064703956
"53","Otu497",-0.220209320561822
"54","Otu1622",-0.216675201742959
"55","Otu1605",-0.212560014446887
"56","Otu538",-0.202781248475846
"57","Otu1336",-0.202665970810015
"58","Otu1636",-0.201975938368557
"59","Otu556",-0.194476701540351
"60","Otu2350",-0.192807306719104
"61","Otu127",-0.190560474040078
"62","Otu274",-0.189974859578776
"63","Otu1696",-0.179407904953524
"64","Otu2561",-0.179378989411465
"65","Otu1298",-0.174183574439935
"66","Otu1685",-0.168674107915372
"67","Otu1502",-0.164748028538592
"68","Otu1684",-0.163064162424777
"69","Otu261",-0.161584357179471
"70","Otu2067",-0.153651724924626
"71","Otu278",-0.153632882804693
"72","Otu2046",-0.152608897976016
"73","Otu289",-0.146958915322857
"74","Otu2239",-0.145428800213533
"75","Otu44",-0.145044988582026
"76","Otu2231",-0.14368325710959
"77","Otu2365",-0.139848541764687
"78","Otu1694",-0.13852664341642
"79","Otu2236",-0.135235189312685
"80","Otu1688",-0.131007338629364
"81","Otu2128",-0.129918541976724
"82","Otu280",-0.129194343508215
"83","Otu2095",-0.129122563003446
"84","Otu2330",-0.127546978189379
"85","Otu284",-0.126674661164539
"86","Otu2234",-0.124208223110552
"87","Otu2568",-0.123751794404831
"88","Otu1693",-0.121279479170488
"89","Otu2098",-0.120858477928571
"90","Otu123",-0.120279567891849
"91","Otu2559",-0.118075442621013
"92","Otu52",-0.117974643941508
"93","Otu146",-0.117634766571467
"94","Otu455",-0.117289297293109
"95","Otu1249",-0.114134136894755
"96","Otu1288",-0.11382535885615
"97","Otu1406",-0.112407237062086
"98","Otu271",-0.11133629342427
"99","Otu1927",-0.11117702809691
"100","Otu124",-0.110851589658324
"101","Otu2334",-0.109656428547109
"102","Otu498",-0.109275298391833
"103","Otu286",-0.10917490575307
"104","Otu258",-0.10751731245921
"105","Otu483",-0.106828256723408
"106","Otu1333",-0.10518055764815
"107","Otu71",-0.104120687699725
"108","Otu2878",-0.103412343572872
"109","Otu3383",-0.102263360663485
"110","Otu3380",-0.0988801830507501
"111","Otu450",-0.0972698589443171
"112","Otu2122",-0.0941633438632928
"113","Otu1935",-0.0918827080374384
"114","Otu1618",-0.0914599515431304
"115","Otu2083",-0.091089871757088
"116","Otu535",-0.0892298747160052
"117","Otu121",-0.0865031973270938
"118","Otu1691",-0.0864743786083088
"119","Otu472",-0.0857822153827641
"120","Otu3381",-0.0853571209429104
"121","Otu292",-0.0835902454298417
"122","Otu242",-0.0827655313937384
"123","Otu2091",-0.0821478631069772
"124","Otu1924",-0.0810921959485792
"125","Otu523",-0.0809719423456743
"126","Otu37",-0.0801848793371466
"127","Otu1469",-0.0798349745389556
"128","Otu1267",-0.0792785601829124
"129","Otu2390",-0.0776249415611133
"130","Otu1467",-0.0773724736848622
"131","Otu139",-0.0767458431525109
"132","Otu1465",-0.0767339159604818
"133","Otu1621",-0.0751599126393008
"134","Otu2049",-0.0745150158030908
"135","Otu1682",-0.0734526038285799
"136","Otu1434",-0.0734252744530967
"137","Otu1614",-0.0724699224006407
"138","Otu2565",-0.0717333291201325
"139","Otu1461",-0.0712336758753311
"140","Otu493",-0.0709721252372403
"141","Otu66",-0.0702911571631147
"142","Otu1274",-0.0660567408307557
"143","Otu1327",-0.0648689930303161
"144","Otu275",-0.0643048450653063
"145","Otu457",-0.0641165957366904
"146","Otu2136",-0.0640162764780997
"147","Otu1617",-0.0634322302382505
"148","Otu2994",-0.0626279084295733
"149","Otu456",-0.0624591933481167
"150","Otu475",-0.0615504759837478
"151","Otu1308",-0.0599196588232689
"152","Otu1929",-0.059896276273689
"153","Otu230",-0.0593445570777238
"154","Otu1285",-0.0591934565368417
"155","Otu3382",-0.0578594461695049
"156","Otu1917",-0.0574266445291575
"157","Otu1697",-0.0550094534927426
"158","Otu1392",-0.0549948289978688
"159","Otu1448",-0.0548555449089352
"160","Otu1334",-0.0547537985097499
"161","Otu1211",-0.0544700607320214
"162","Otu1450",-0.0539295537605141
"163","Otu2125",-0.0521691468890671
"164","Otu281",-0.0520624188126175
"165","Otu559",-0.05076773475448
"166","Otu1620",-0.0500902034161613
"167","Otu266",-0.0465811767349476
"168","Otu1310",-0.0461845468965711
"169","Otu1197",-0.0457896988401222
"170","Otu2096",-0.0447193629009876
"171","Otu1634",-0.0437296535878842
"172","Otu470",-0.043481134094667
"173","Otu1925",-0.0412788182013391
"174","Otu527",-0.0373385660234458
"175","Otu1476",-0.0357496962042359
"176","Otu1625",-0.0303048963091375
"177","Otu2241",-0.0262565814933172
"178","Otu1443",-0.0249614118395034
"179","Otu168",-0.0230599174236247
"180","Otu1398",-0.0210681787441332
"181","Otu1394",-0.0199740395778904
"182","Otu1328",-0.0195195916089267
"183","Otu1514",-0.0171572228478435
"184","Otu1132",-0.0153574296290381
"185","Otu1346",-0.0148231378522983
"186","Otu255",-0.00950985181672189
"187","Otu2101",-0.00743032731594243
"188","Otu2097",0.0100261624367335
"189","Otu1926",0.0100308486428696
"190","Otu408",0.026882094548305
"191","Otu1504",0.0304175950975365
"192","Otu2486",0.0495017723209694
"193","Otu858",0.0822421594019554
"194","Otu863",0.0823196195763013
"195","Otu870",0.0860747789558757
"196","Otu887",0.0963293757941227
"197","Otu1511",0.134065888702809
"198","Otu2243",0.164155539028402
"199","Otu2247",0.21474247089106
"200","Otu2262",0.263214763461065
"201","Otu2261",0.265698979017501
"202","Otu824",0.280438320469162
"203","Otu2259",0.309900361890234
"204","Otu641",0.329001022979982
"205","Otu2256",0.333554382145739
"206","Otu2257",0.349436714395392
"207","Otu886",0.495956548837062
"208","Otu881",0.528056220696897
"209","Otu129",1.05150923070602
