"","Names","scores"
"149","Kineothri",0.323040426435031
"150","Proteobacteria_unclassifie",0.324125758098825
"151","Proteobacteria_unclassifie.3",0.3276357002151
"152","Proteobacteria_unclassifie.2",0.329780761025166
"153","Proteobacteri",0.339646392635244
"154","Proteobacteria_unclassifie.1",0.352571221585561
"155","Proteobacteria_unclassified.1",0.39146044314966
"156","Proteobacteria_unclassified.3",0.392802518260457
"157","Proteobacteria_unclassified.2",0.393128421666766
"158","Proteobacteria_unclassified",0.406901413525836
"159","Coprococcus",0.412121250565771
"160","Dialister",0.423458436573889
"161","Lachnospira",0.46536819877903
"162","Lactobacillaceae_unclassified",0.513897241737625
"163","Bacteria_unclassifie.3",0.560007589886501
"164","Bacteria_unclassifie.1",0.561236197004353
"165","Bacteria_unclassifie.2",0.561814697989257
"166","Odoribacter",0.56252295062387
"167","Firmicutes_unclassifie.2",0.567068554887696
"168","Bacteria_unclassifie",0.569514111365229
"169","Bacteria_unclassifie.4",0.57176506743343
"170","Firmicutes_unclassifie",0.577717506781177
"171","Firmicutes_unclassifie.1",0.58200469162573
"172","Firmicutes_unclassifie.3",0.584938195724043
"173","Betaproteobacteria",0.607304775630617
"174","Mollicutes",0.609924021150633
"175","Dore",0.625988460559445
"176","Porphyromonadaceae",0.632367472294721
"177","Ruminococcu",0.633517482331836
"178","Clostridiaceae_1_unclassifie",0.637640039799476
"179","Sutterellaceae",0.640514140900348
"180","Anaeroplasmatales",0.644522671485672
"181","Tenericutes",0.67053347764713
"182","Anaeroplasmataceae",0.674403780229034
"183","Parabacteroides",0.676753303471376
"184","Ruminococcacea",0.678406844674777
"185","Burkholderiales",0.689446224169069
"186","Bacteroidales_unclassified",0.700874845445228
"187","Faecalibacillus",0.702199430659934
"188","Anaerostipes",0.712794531781118
"189","Firmicutes_unclassified",0.721837801507162
"190","Firmicutes_unclassified.3",0.722427299986608
"191","Sutterella",0.724649779732498
"192","Firmicutes_unclassified.2",0.730177969935526
"193","Bacteroidales_unclassified.1",0.730692788037752
"194","Firmicutes_unclassified.1",0.73934593300207
"195","Ruminococcus",0.740015803782966
"196","Odoribacteraceae",0.755028564900743
"197","Bacteroidetes_unclassified.1",0.771389257520284
"198","Bacteroidetes_unclassified.2",0.792436053263259
"199","Bacteroidetes_unclassified",0.796191745281662
"200","Bacillales",0.800716919593048
"201","Bacteroidetes_unclassified.3",0.80106279157174
"202","Holdemanella",0.83058690185631
"203","Clostridium_I",0.860875495040358
"204","Roseburi",0.917940111430448
"205","Alistipes",0.947482099344892
"206","Acidaminococcaceae",0.977057071806357
"207","Bacteria_unclassified.4",0.978308432347152
"208","Rikenellaceae",0.990095230597892
"209","Phascolarctobacterium",1.00329167174864
"210","Acidaminococcales",1.00522510068303
"211","Bacteria_unclassified",1.01903503624719
"212","Bacteria_unclassified.2",1.01942642531418
"213","Bacteria_unclassified.1",1.02026453020856
"214","Bacteria_unclassified.3",1.02350538570929
"215","Lachnospiraceae_unclassifie",1.06001405452913
"216","Barnesiellaceae",1.0659868763119
"217","Barnesiella",1.08840141541456
"218","Clostridiales_unclassified",1.11568959335689
"219","Clostridiales_unclassified.1",1.12075209887474
"220","Phocaeicola",1.1465165252484
"221","Agathobacter",1.17873616367827
"222","Ruminococcaceae_unclassifie",1.36939817907951
"223","Lachnospiraceae",1.4496159711117
"224","Prevotellaceae",1.49731011440325
"225","Prevotella",1.51321248898156
"226","Ruminococcaceae",1.59594487743394
"227","Phocaeicol",1.76873764186276
"228","Clostridiales",1.82109535032094
"229","Clostridia",1.82145860269197
"230","Bacteroides",2.10589375550668
"231","Bacteroidaceae",2.28535491922079
"232","Bacteroidia",2.40374317102234
"233","Bacteroidales",2.40374317102234
"234","Bacteroidetes",2.40659596847649
